PUNCA KEMALANGAN MAUT,Tahun,Bilangan Kes
CUAI MELINTAS JALAN (P/KAKI),2011,233
CUAI MELINTAS JALAN (P/KAKI),2012,251
CUAI MELINTAS JALAN (P/KAKI),2013,173
CUAI MELINTAS JALAN (P/KAKI),2014,213
CUAI MELINTAS JALAN (P/KAKI),2015,224
CUAI MELINTAS JALAN (P/KAKI),2016,210
CUAI MELINTAS JALAN (P/KAKI),2017,197
CUAI MELINTAS JALAN (P/KAKI),2018,113
CUAI MELINTAS JALAN (P/KAKI),2019,107
TERBABAS SENDIRI (SATU KENDERAAN),2011,1720
TERBABAS SENDIRI (SATU KENDERAAN),2012,1712
TERBABAS SENDIRI (SATU KENDERAAN),2013,1616
TERBABAS SENDIRI (SATU KENDERAAN),2014,1644
TERBABAS SENDIRI (SATU KENDERAAN),2015,1764
TERBABAS SENDIRI (SATU KENDERAAN),2016,1805
TERBABAS SENDIRI (SATU KENDERAAN),2017,2141
TERBABAS SENDIRI (SATU KENDERAAN),2018,2110
TERBABAS SENDIRI (SATU KENDERAAN),2019,2173
MAKAN JALAN (BUKAN MEMOTONG 2 KEND ATAU LEBIH),2011,820
MAKAN JALAN (BUKAN MEMOTONG 2 KEND ATAU LEBIH),2012,742
MAKAN JALAN (BUKAN MEMOTONG 2 KEND ATAU LEBIH),2013,765
MAKAN JALAN (BUKAN MEMOTONG 2 KEND ATAU LEBIH),2014,688
MAKAN JALAN (BUKAN MEMOTONG 2 KEND ATAU LEBIH),2015,655
MAKAN JALAN (BUKAN MEMOTONG 2 KEND ATAU LEBIH),2016,686
MAKAN JALAN (BUKAN MEMOTONG 2 KEND ATAU LEBIH),2017,643
MAKAN JALAN (BUKAN MEMOTONG 2 KEND ATAU LEBIH),2018,629
MAKAN JALAN (BUKAN MEMOTONG 2 KEND ATAU LEBIH),2019,646
CUBA / SEDANG MEMOTONG / TUKAR LANE,2011,749
CUBA / SEDANG MEMOTONG / TUKAR LANE,2012,720
CUBA / SEDANG MEMOTONG / TUKAR LANE,2013,685
CUBA / SEDANG MEMOTONG / TUKAR LANE,2014,665
CUBA / SEDANG MEMOTONG / TUKAR LANE,2015,657
CUBA / SEDANG MEMOTONG / TUKAR LANE,2016,711
CUBA / SEDANG MEMOTONG / TUKAR LANE,2017,576
CUBA / SEDANG MEMOTONG / TUKAR LANE,2018,644
CUBA / SEDANG MEMOTONG / TUKAR LANE,2019,639
CUAI KELUAR / MASUK SIMPANG JALAN SUSUR,2011,670
CUAI KELUAR / MASUK SIMPANG JALAN SUSUR,2012,658
CUAI KELUAR / MASUK SIMPANG JALAN SUSUR,2013,664
CUAI KELUAR / MASUK SIMPANG JALAN SUSUR,2014,636
CUAI KELUAR / MASUK SIMPANG JALAN SUSUR,2015,631
CUAI KELUAR / MASUK SIMPANG JALAN SUSUR,2016,731
CUAI KELUAR / MASUK SIMPANG JALAN SUSUR,2017,565
CUAI KELUAR / MASUK SIMPANG JALAN SUSUR,2018,630
CUAI KELUAR / MASUK SIMPANG JALAN SUSUR,2019,617
MENGEKOR RAPAT,2011,427
MENGEKOR RAPAT,2012,390
MENGEKOR RAPAT,2013,383
MENGEKOR RAPAT,2014,305
MENGEKOR RAPAT,2015,264
MENGEKOR RAPAT,2016,382
MENGEKOR RAPAT,2017,319
MENGEKOR RAPAT,2018,324
MENGEKOR RAPAT,2019,311
TAK NAMPAK / PERASAN ADA KEND/OBJEK/BINATANG DIDEPAN ATAU SEBELAH (SAMA ARAH),2011,673
TAK NAMPAK / PERASAN ADA KEND/OBJEK/BINATANG DIDEPAN ATAU SEBELAH (SAMA ARAH),2012,662
TAK NAMPAK / PERASAN ADA KEND/OBJEK/BINATANG DIDEPAN ATAU SEBELAH (SAMA ARAH),2013,634
TAK NAMPAK / PERASAN ADA KEND/OBJEK/BINATANG DIDEPAN ATAU SEBELAH (SAMA ARAH),2014,660
TAK NAMPAK / PERASAN ADA KEND/OBJEK/BINATANG DIDEPAN ATAU SEBELAH (SAMA ARAH),2015,667
TAK NAMPAK / PERASAN ADA KEND/OBJEK/BINATANG DIDEPAN ATAU SEBELAH (SAMA ARAH),2016,686
TAK NAMPAK / PERASAN ADA KEND/OBJEK/BINATANG DIDEPAN ATAU SEBELAH (SAMA ARAH),2017,616
TAK NAMPAK / PERASAN ADA KEND/OBJEK/BINATANG DIDEPAN ATAU SEBELAH (SAMA ARAH),2018,648
TAK NAMPAK / PERASAN ADA KEND/OBJEK/BINATANG DIDEPAN ATAU SEBELAH (SAMA ARAH),2019,641
MELAWAN ALIRAN TRAFIK,2011,99
MELAWAN ALIRAN TRAFIK,2012,97
MELAWAN ALIRAN TRAFIK,2013,86
MELAWAN ALIRAN TRAFIK,2014,266
MELAWAN ALIRAN TRAFIK,2015,238
MELAWAN ALIRAN TRAFIK,2016,267
MELAWAN ALIRAN TRAFIK,2017,239
MELAWAN ALIRAN TRAFIK,2018,202
MELAWAN ALIRAN TRAFIK,2019,167
PUSINGAN U/PATAH BALIK/MENYEBERANG,2011,267
PUSINGAN U/PATAH BALIK/MENYEBERANG,2012,302
PUSINGAN U/PATAH BALIK/MENYEBERANG,2013,316
PUSINGAN U/PATAH BALIK/MENYEBERANG,2014,327
PUSINGAN U/PATAH BALIK/MENYEBERANG,2015,327
PUSINGAN U/PATAH BALIK/MENYEBERANG,2016,323
PUSINGAN U/PATAH BALIK/MENYEBERANG,2017,272
PUSINGAN U/PATAH BALIK/MENYEBERANG,2018,174
PUSINGAN U/PATAH BALIK/MENYEBERANG,2019,145
TIDAK IKUT LAMPU ISYARAT,2011,80
TIDAK IKUT LAMPU ISYARAT,2012,65
TIDAK IKUT LAMPU ISYARAT,2013,51
TIDAK IKUT LAMPU ISYARAT,2014,236
TIDAK IKUT LAMPU ISYARAT,2015,229
TIDAK IKUT LAMPU ISYARAT,2016,245
TIDAK IKUT LAMPU ISYARAT,2017,188
TIDAK IKUT LAMPU ISYARAT,2018,102
TIDAK IKUT LAMPU ISYARAT,2019,98
CUAI MENGUNDUR,2011,25
CUAI MENGUNDUR,2012,20
CUAI MENGUNDUR,2013,18
CUAI MENGUNDUR,2014,200
CUAI MENGUNDUR,2015,181
CUAI MENGUNDUR,2016,223
CUAI MENGUNDUR,2017,95
CUAI MENGUNDUR,2018,64
CUAI MENGUNDUR,2019,45
MABUK/DADAH,2011,7
MABUK/DADAH,2012,6
MABUK/DADAH,2013,4
MABUK/DADAH,2014,2
MABUK/DADAH,2015,3
MABUK/DADAH,2016,7
MABUK/DADAH,2017,10
MABUK/DADAH,2018,3
MABUK/DADAH,2019,5
BERHENTI MENGEJUT,2011,4
BERHENTI MENGEJUT,2012,8
BERHENTI MENGEJUT,2013,9
BERHENTI MENGEJUT,2014,5
BERHENTI MENGEJUT,2015,6
BERHENTI MENGEJUT,2016,12
BERHENTI MENGEJUT,2017,110
BERHENTI MENGEJUT,2018,36
BERHENTI MENGEJUT,2019,26
LEKA/BERANGAN/LETIH/MENGANTUK,2011,61
LEKA/BERANGAN/LETIH/MENGANTUK,2012,55
LEKA/BERANGAN/LETIH/MENGANTUK,2013,59
LEKA/BERANGAN/LETIH/MENGANTUK,2014,219
LEKA/BERANGAN/LETIH/MENGANTUK,2015,219
LEKA/BERANGAN/LETIH/MENGANTUK,2016,136
LEKA/BERANGAN/LETIH/MENGANTUK,2017,154
LEKA/BERANGAN/LETIH/MENGANTUK,2018,111
LEKA/BERANGAN/LETIH/MENGANTUK,2019,99
BERLUMBA / ZIG ZAG,2011,10
BERLUMBA / ZIG ZAG,2012,12
BERLUMBA / ZIG ZAG,2013,11
BERLUMBA / ZIG ZAG,2014,14
BERLUMBA / ZIG ZAG,2015,9
BERLUMBA / ZIG ZAG,2016,8
BERLUMBA / ZIG ZAG,2017,9
BERLUMBA / ZIG ZAG,2018,5
BERLUMBA / ZIG ZAG,2019,3
LAIN-LAIN,2011,414
LAIN-LAIN,2012,591
LAIN-LAIN,2013,726
LAIN-LAIN,2014,19
LAIN-LAIN,2015,17
LAIN-LAIN,2016,25
LAIN-LAIN,2017,41
LAIN-LAIN,2018,46
LAIN-LAIN,2019,25
TIADA DIKETAHUI,2011,90
TIADA DIKETAHUI,2012,90
TIADA DIKETAHUI,2013,108
TIADA DIKETAHUI,2014,88
TIADA DIKETAHUI,2015,102
TIADA DIKETAHUI,2016,113
TIADA DIKETAHUI,2017,90
TIADA DIKETAHUI,2018,29
TIADA DIKETAHUI,2019,17
